id type coords center size 
# ISM
#"Min 2-66" sym "radec" "18 33 30.0 -04 59 00" 50 
"[GS55] 153" sym "radec" "18 33 00.0 -05 02 00" 50
#MoC
"PGCC G026.39+01.55" sym "radec" "18 33 54.588 -05 06 29.58" 50
"PGCC G026.30+01.60" sym "radec" "18 33 34.512 -05 09 40.63" 50
"PGCC G026.54+01.80" sym "radec" "18 33 18.699 -04 51 41.68" 50
