id type coords center size 
# Em0
"MHO 3203" sym "radec" "18 33 30.6 -05 00 35" 75
"MHO 3211" sym "radec" "18 34 04.1 -05 06 01" 75
"MHO 3204" sym "radec" "18 33 38.9 -05 01 16" 75   
"MHO 3205" sym "radec" "18 33 34.2 -05 10 25" 75
